Article;Name;Has Photo
="М-92-2";"Обувь женская, медицина Ромашка";
="М-92-3";"Обувь женская, медицина (Зигзаг)";
="М-92-4";"Обувь женская, медицина (Закрытый нос)";
="М-93-1";"Обувь мужская, медицина (Закрытый нос)";
="РБ-0101";"Обувь мужская, берцы на шнурках, с металическим подноском, верх- натуральная кожа, подкладка - сетка 3D, подошва-ТПУ ( МБС)";
="РБ-0101-к";"Обувь мужская, берцы на шнурках, с композитным подноском, верх- натуральная кожа, подкладка - сетка 3D, подошва-ТПУ ( МБС)";
="РБ-0101м";"Обувь мужская, берцы на шнурках, с металическим подноском, с мехом верх- натуральная кожа, подкладка - сетка 3D, подошва-ТПУ ( МБС)";
="РБ-0201";"Обувь мужская, ботинки с металическим подноском, верх-натуральная кожа подкладка - сетка 3D, подошва-ТПУ ( МБС)";
="РБ-0202";"Обувь мужская, ботинки с металическим подноском, верх- натуральный спилок, подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0203";"Обувь мужская, ботинки с металическим подноском, верх- натуральный спилок, подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0204";"Обувь мужская, ботинки с металическим подноском, верх- натуральный спилок, подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0301";"Обувь мужская, ботинки с металическим подноском, верх- натуральная кожа, подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0302";"Обувь мужская, ботинки с металическим подноском,верх- натуральный спилок,подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0304";"Обувь мужская, ботинки с металическим подноском, верх- натуральный спилок, подкладка- сетка 3D подошва -ТПУ ( МБС)";
="РБ-0401";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральная кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0501";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральная кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0502";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральная кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0503";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральная кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0504";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральная кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0505";"Обувь мужская, полуботинки на шнурках,с металлическим подноском, верх-натуральный спиок, подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0601к";"Обувь мужская ,берцы с композитным подноском, верх- эко-кожа , подкладка-сетка 3D подошва ТПУ (МБС)";
="РБ-0701к";"Обувь мужская, полуботинки на шнурках,с композитным подноском, верх-эко-кожа, подкладка-сетка 3D подошва ТПУ (МБС)";
="С-044";"Галоши садовые мужские утепленные";v
="С-044м";"Галоши садовые мужские утепленные";v
="Ф-001";"Сапоги детские ПВХ, утепленные";
="Ф-002";"Сапоги детские ПВХ, утепленные";
="Ф-003";"Сапоги детские ПВХ, не утепленные";
="Ф-004";"Сапоги детские ПВХ, не утепленные";
="Ф-005";"Сапоги женские ПВХ не утепленные";
="Ф-006";"Сапоги детские ПВХ, утепленные с манжетом";
="Ф-007";"Сапоги детские ПВХ, не утепленные с манжетом";
="Ф-008";"Сапоги малодетские ПВХ, не утепленные с манжетом";
